"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-20",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-21",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-22",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-23",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-24",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-25",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-26",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-27",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-28",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-29",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-30",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-07-01",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-07-02",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-07-03",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-07-04",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-07-05",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-07-06",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-03",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-04",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-05",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-06",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-07",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-08",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-09",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-10",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-11",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-12",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-13",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-14",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-15",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-16",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-21",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-22",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-23",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-24",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-25",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-26",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-27",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-28",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-29",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-04-30",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-05-01",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-05-02",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-05-03",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-05-04",,,,
"US1CASN0117","SEBASTOPOL 1.4 WSW, CA US","2018-05-27",,,,
