,Date,avg_gpm,Min,Max,avg_clean,gpd,ac-ft,cum_ac_ft
215,8/5/18,104.215277777778,101,106,104.215277777778,150070,0.460547919140957,41.249620225195
216,8/6/18,102.9375,100,109,102.9375,148230,0.454901166484068,41.704521391679
217,8/7/18,101.493055555556,98,105,101.493055555556,146150,0.448517880871932,42.153039272551
218,8/8/18,100.625,97,103,100.625,144900,0.444681771730024,42.597721044281
219,8/9/18,99.2013888888889,95,103,99.2013888888889,142850,0.438390552737294,43.0361115970183
220,8/10/18,96.9375,91,105,96.9375,139590,0.428385980095197,43.4644975771135
221,8/11/18,94.6388888888889,91,103,94.6388888888889,136280,0.418227963087423,43.8827255402009
222,8/12/18,93.1597222222222,89,135,93.1597222222222,134150,0.411691233109611,44.2944167733105
223,8/13/18,91.0486111111111,88,94,91.0486111111111,131110,0.40236181567649,44.696778588987
224,8/14/18,90.1388888888889,87,103,90.1388888888889,129800,0.39834157329577,45.0951201622828
225,8/15/18,88.6944444444444,85,93,88.6944444444444,127720,0.391958287683635,45.4870784499664
226,8/16/18,86.7916666666667,83,92,86.7916666666667,124980,0.383549536444571,45.870627986411
227,8/17/18,84.8680555555556,81,89,84.8680555555556,122210,0.375048718586102,46.2456767049971
228,8/18/18,84.0833333333333,81,87,84.0833333333333,121080,0.371580875921817,46.6172575809189
229,8/19/18,84.1666666666667,80,87,84.1666666666667,121200,0.37194914239944,46.9892067233183
230,8/20/18,84.5833333333333,81,88,84.5833333333333,121800,0.373790474787556,47.3629971981059
231,8/21/18,83.8125,81,87,83.8125,120690,0.370384009869542,47.7333812079754
232,8/22/18,83.5347222222222,79,87,83.5347222222222,120290,0.369156454944131,48.1025376629196
233,8/23/18,82.7916666666667,80,85,82.7916666666667,119220,0.365872745518657,48.4684104084382
234,8/24/18,82.1805555555556,80,91,82.1805555555556,118340,0.363172124682754,48.831582533121
235,8/25/18,81.7638888888889,79,87,81.7638888888889,117740,0.361330792294638,49.1929133254156
236,8/26/18,80.3958333333333,77,84,80.3958333333333,115770,0.35528508428699,49.5481984097026
237,8/27/18,79.3263888888889,77,82,79.3263888888889,114230,0.350558997824159,49.8987574075268
238,8/28/18,78.4513888888889,76,81,78.4513888888889,112970,0.346692199809115,50.2454496073359
239,8/29/18,78.1736111111111,76,81,78.1736111111111,112570,0.345464644883705,50.5909142522196
240,8/30/18,77.5763888888889,75,90,77.5763888888889,111710,0.342825401794072,50.9337396540136
241,8/31/18,76.3125,74,79,76.3125,109890,0.337240026883453,51.2709796808971
242,9/1/18,75.7430555555556,74,78,75.7430555555556,109070,0.334723539286361,51.6057032201835
243,9/2/18,75.0277777777778,72,78,75.0277777777778,108040,0.331562585353428,51.9372658055369
244,9/3/18,74.0347222222222,72,80,74.0347222222222,106610,0.327174076495085,52.264439882032
245,9/4/18,73.0347222222222,71,79,73.0347222222222,105170,0.322754878763607,52.5871947607956
246,9/5/18,72.6111111111111,70,79,72.6111111111111,104560,0.320882857502355,52.9080776182979
247,9/6/18,71.8125,70,74,71.8125,103410,0.3173536370918,53.2254312553897
248,9/7/18,70.9027777777778,69,74,70.9027777777778,102100,0.31333339471108,53.5387646501008
249,9/8/18,69.4513888888889,68,74,69.4513888888889,100010,0.306919420225809,53.8456840703266
250,9/9/18,68.0972222222222,66,81,68.0972222222222,98060,0.300935089964432,54.1466191602911
251,9/10/18,66.5208333333333,64,74,66.5208333333333,95790,0.293968715762726,54.4405878760538
252,9/11/18,66.5625,63,80,66.5625,95850,0.294152849001537,54.7347407250553
253,9/12/18,65.0138888888889,63,67,65.0138888888889,93620,0.287309230292373,55.0220499553477
254,9/13/18,64.4513888888889,61,66,64.4513888888889,92810,0.284823431568416,55.3068733869161
255,9/14/18,64.7222222222222,63,77,64.7222222222222,93200,0.286020297620692,55.5928936845368
256,9/15/18,64.8194444444444,63,82,64.8194444444444,93340,0.286449941844585,55.8793436263814
257,9/16/18,63.9305555555556,62,79,63.9305555555556,92060,0.282521766083271,56.1618653924647
258,9/17/18,63.0486111111111,61,66,63.0486111111111,90790,0.278624279195092,56.4404896716597
259,9/18/18,62.7916666666667,60,69,62.7916666666667,90420,0.277488790889087,56.7179784625488
260,9/19/18,63.1736111111111,61,94,63.1736111111111,90970,0.279176678911527,56.9971551414604
261,9/20/18,62.6111111111111,61,81,62.6111111111111,90160,0.27669088018757,57.2738460216479
262,9/21/18,63.4513888888889,61,75,63.4513888888889,91370,0.280404233836938,57.5542502554849
263,9/22/18,63.3333333333333,62,65,63.3333333333333,91200,0.279882522993638,57.8341327784785
