Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_3 8 (Omykiss),Drift_Forage 82,0:00:03:48.395/60000,228.006577,-30.966528,8.702211,12.639673,0.030195,1.330517,75.727974,
Subsample_3 8 (Omykiss),Drift_Forage 86,0:00:03:57.395/60000,237.006577,-31.268032,7.971519,13.074303,0.033506,1.810526,75.254669,
Subsample_3 8 (Omykiss),Length 85,0:00:03:54.395/60000,234.006577,-27.565512,12.061073,12.249346,0.029147,0.574397,76.73391,
Surface_Shots 3,Point 78,0:00:03:36.395/60000,216.006577,-13.386827,39.590023,34.938046,0.426879,3.306047,96.952576,
Subsample_3 8 (Omykiss),Length 85,0:00:03:54.395/60000,234.006577,-31.401455,8.301408,13.516319,0.039121,1.765175,75.549744,
Subsample_3 8 (Omykiss),Drift_Forage 87,0:00:04:00.395/60000,240.006577,-30.586563,8.554869,12.418899,0.027168,1.32528,75.419853,
Subsample_3 8 (Omykiss),Drift_Forage 80,0:00:03:42.395/60000,222.006577,-30.989958,8.011254,12.309785,0.025364,1.505912,75.219261,
Subsample_3 8 (Omykiss),Length 75,0:00:03:39.395/60000,219.006577,-28.145365,10.66075,11.363223,0.015055,1.354019,75.968979,
Subsample_3 8 (Omykiss),Length 76,0:00:03:36.395/60000,216.006577,-31.526899,6.481519,13.933913,0.038041,1.989863,74.107735,
Subsample_3 8 (Omykiss),Drift_Forage 84,0:00:03:54.395/60000,234.006577,-31.343084,8.262635,13.553599,0.039378,1.962541,75.480766,
Subsample_3 8 (Omykiss),Drift_Forage 74,0:00:03:39.395/60000,219.006577,-31.698435,6.894128,12.883967,0.029594,1.2215,74.65638,
Surface_Shots 3,Point 79,0:00:06:06.28887/60000,366.481445,28.682749,-1.413342,35.610039,0.211676,6.333454,48.363914,
Subsample_3 9 (Omykiss),Drift_Forage 88,0:00:03:30.395/60000,210.006577,28.500837,20.519726,24.184092,0.117922,1.417171,68.496895,
Subsample_3 10 (Okisutch),Search_Forage 99,0:00:03:45.395/60000,225.006577,50.478569,33.408245,3.902659,0.281901,2.319388,83.525551,
Subsample_3 9 (Omykiss),Search_Forage 97,0:00:03:49.395/60000,229.006577,40.545143,10.021884,18.700928,0.066067,0.168293,57.252872,
Subsample_3 9 (Omykiss),Length 98,0:00:03:49.395/60000,229.006577,40.547451,9.95861,18.679771,0.065634,0.400441,57.191929,
Subsample_3 9 (Omykiss),Length 98,0:00:03:49.395/60000,229.006577,35.71632,10.331262,18.038792,0.063271,0.748451,57.80191,
Subsample_3 9 (Omykiss),Length 90,0:00:03:33.395/60000,213.006577,22.090992,26.656487,23.58453,0.056723,1.728591,75.824791,
Subsample_3 9 (Omykiss),Length 94,0:00:03:42.19326/60000,222.322098,-1.374086,11.422688,12.245813,0.01797,0.32775,66.511772,
Subsample_3 9 (Omykiss),Search_Forage 93,0:00:03:42.395/60000,222.006577,0.518677,12.591192,12.550055,0.017449,0.395662,67.257309,
Subsample_3 9 (Omykiss),Search_Forage 91,0:00:03:36.395/60000,216.006577,12.65782,23.679113,21.58633,0.008854,0.902213,75.875572,
Subsample_3 9 (Omykiss),Search_Forage 92,0:00:03:39.395/60000,219.006577,1.11995,15.664955,17.770964,0.030306,0.19857,69.678749,
Subsample_3 9 (Omykiss),Drift_Forage 89,0:00:03:33.395/60000,213.006577,22.060797,26.8734,23.569561,0.055882,1.473036,76.042747,
Subsample_3 9 (Omykiss),Search_Forage 95,0:00:03:45.395/60000,225.006577,14.009833,21.358189,16.558275,0.008296,1.688883,73.574081,
Subsample_3 10 (Okisutch),Search_Forage 100,0:00:03:48.395/60000,228.006577,37.036655,36.654034,1.314986,0.224775,4.36053,86.747765,
Subsample_3 9 (Omykiss),Length 90,0:00:03:33.395/60000,213.006577,26.634703,25.260807,24.165483,0.097956,0.975572,73.494453,
Subsample_3 9 (Omykiss),Length 94,0:00:03:42.19326/60000,222.322098,3.064624,12.927191,12.567598,0.020782,0.360256,67.20089,
Subsample_3 9 (Omykiss),Search_Forage 96,0:00:03:48.395/60000,228.006577,32.998287,11.675905,16.902779,0.050982,0.781528,59.531757,
Subsample_3 10 (Okisutch),Search_Forage 101,0:00:03:51.395/60000,231.006577,23.502205,20.466698,1.84553,0.042384,2.110573,72.97403,
Subsample_3 10 (Okisutch),Search_Forage 102,0:00:03:54.395/60000,234.006577,35.924854,22.852163,4.152395,0.133729,2.250546,72.760094,
Subsample_3 10 (Okisutch),Drift_Forage 105,0:00:03:57.395/60000,237.006577,41.214928,23.678543,5.68892,0.153927,1.648576,73.031136,
Subsample_3 10 (Okisutch),Length 103,0:00:03:51.41888/60000,231.698135,27.997654,21.642744,2.965226,0.076505,2.209891,72.845093,
Subsample_3 10 (Okisutch),Length 106,0:00:03:57.395/60000,237.006577,34.205925,23.444355,4.563413,0.115945,2.34089,73.338203,
Subsample_3 10 (Okisutch),Length 106,0:00:03:57.395/60000,237.006577,41.206047,23.586451,5.678555,0.153835,2.057715,72.944565,
Subsample_3 10 (Okisutch),Length 104,0:00:03:52.1908/60000,232.031799,29.455,21.615843,3.274792,0.086193,2.08351,72.499641,
Subsample_3 10 (Okisutch),Length 104,0:00:03:52.1908/60000,232.031799,22.652288,20.214964,2.174139,0.033173,2.918635,72.841515,
Subsample_3 10 (Okisutch),Length 103,0:00:03:51.41888/60000,231.698135,21.143169,21.383663,1.599534,0.02561,2.201102,74.465973,
Subsample_3 10 (Okisutch),Drift_Forage 107,0:00:04:00.395/60000,240.006577,44.906376,23.33626,7.744632,0.141355,1.612658,72.350182,
Subsample_4 11 (Omykiss),Drift_Forage 115,0:00:04:12.395/60000,252.006577,-30.557674,8.438985,12.328672,0.025948,1.110505,75.320068,
Subsample_4 11 (Omykiss),Length 109,0:00:04:00.395/60000,240.006577,-30.588818,8.510283,12.457543,0.027522,1.58754,75.379967,
Subsample_4 11 (Omykiss),Length 114,0:00:04:09.395/60000,249.006577,-25.590504,11.905367,11.280972,0.012326,0.856624,75.730057,
Subsample_4 11 (Omykiss),Length 114,0:00:04:09.395/60000,249.006577,-30.043482,8.945792,12.825768,0.032165,0.733978,75.387329,
