All measured points in VidSync project Porter_BACI_JTPool_30June2018_Part1
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_2 4 (Omykiss),Length 31,0:00:10:33.51994/60000,633.866577,30.336086,71.060532,4.005873,0.216829,1.724173,121.156364,"RC: screen={1097.506835937500000,521.679626464844000} undistorted={1098.165771484380000,521.594726562500000} calibrationFrameFront={34.291537755801100,4.881511262257170} calibrationFrameBack={33.243035101756500,4.684183576660480}""LC: screen={1191.598388671880000,587.661071777344000} undistorted={1192.521240234380000,587.972961425781000} calibrationFrameFront={16.359716136260900,5.453587549580550} calibrationFrameBack={20.384378002569600,5.085278184610970}"
Subsample_1 5 (Omykiss),Drift_Forage 41,0:00:08:54.175/60000,534.002930,-71.126961,56.470867,-3.046990,0.078131,0.861182,132.806137,"RC: screen={313.536193847656000,474.842529296875000} undistorted={295.015045166016000,473.087890625000000} calibrationFrameFront={-13.685987417961200,1.516341290653420} calibrationFrameBack={-34.475349304103300,-0.755669542516198}""LC: screen={363.336120605469000,487.139099121094000} undistorted={345.849243164062000,486.237335205078000} calibrationFrameFront={-30.427388813330100,1.925518781658870} calibrationFrameBack={-45.293883029308600,-0.578453255908858}"
Subsample_1 5 (Omykiss),Drift_Forage 40,0:00:08:51.175/60000,531.002930,-73.173454,64.492996,-2.676273,0.140698,0.328163,140.501022,"LC: screen={390.545410156250000,496.209289550781000} undistorted={374.946472167969000,495.605133056641000} calibrationFrameFront={-28.779474623067300,2.370486757342700} calibrationFrameBack={-42.959701816172000,0.075926801555292}""RC: screen={350.651611328125000,481.873474121094000} undistorted={334.695465087891000,480.427368164062000} calibrationFrameFront={-11.017922637452700,1.997769071182380} calibrationFrameBack={-30.670617535432700,-0.030748704839920}"
Subsample_1 1 (Omykiss),Length 35,0:00:08:56.53181/60000,536.886353,-40.233730,28.671570,-4.402929,0.094618,5.999760,92.903145,"RC: screen={336.685913085938000,443.742065429688000} undistorted={319.628479003906000,441.146759033203000} calibrationFrameFront={-12.007714189769000,-0.361269129879352} calibrationFrameBack={-32.138761757152400,-3.415355033457010}""LC: screen={484.364135742188000,442.798400878906000} undistorted={474.310485839844000,441.273681640625000} calibrationFrameFront={-23.491736754036400,-0.856894471156624} calibrationFrameBack={-35.435106343405300,-4.392798489482310}"
Subsample_1 1 (Omykiss),Search_Forage 34,0:00:08:57.175/60000,537.002930,-44.216728,26.849644,0.192609,0.060642,1.657486,93.022697,"RC: screen={285.031433105469000,486.592224121094000} undistorted={264.453857421875000,485.130889892578000} calibrationFrameFront={-15.774390845842800,2.206491962730070} calibrationFrameBack={-37.425493061756500,0.199971704777117}""LC: screen={424.409362792969000,495.068481445312000} undistorted={411.018066406250000,494.493255615234000} calibrationFrameFront={-26.789306100180300,2.223079092788850} calibrationFrameBack={-40.136279804219600,-0.100893923538553}"
Subsample_1 5 (Omykiss),Drift_Forage 39,0:00:08:48.175/60000,528.002930,-71.034355,65.116020,-2.175977,0.150032,0.998998,139.787460,"RC: screen={367.459411621094000,486.760925292969000} undistorted={352.597869873047000,485.488800048828000} calibrationFrameFront={-9.826588351668300,2.316723164436970} calibrationFrameBack={-28.970871657949800,0.440891869421218}""LC: screen={409.345397949219000,500.081359863281000} undistorted={394.996887207031000,499.604492187500000} calibrationFrameFront={-27.654873839925700,2.542009814844310} calibrationFrameBack={-41.366478812345300,0.335686769895886}"
Subsample_1 5 (Omykiss),Length 42,0:00:08:50.25794/60000,530.429871,-66.468979,67.127563,-3.287387,0.157975,1.641235,139.091187,"LC: screen={453.096984863281000,497.056274414062000} undistorted={441.458923339844000,496.575500488281000} calibrationFrameFront={-25.098811657367500,2.264533987972470} calibrationFrameBack={-37.741687345037400,-0.015837632981996}""RC: screen={406.657714843750000,476.420227050781000} undistorted={394.110778808594000,474.985900878906000} calibrationFrameFront={-7.079378262236820,1.738777933326750} calibrationFrameBack={-25.084705009628900,-0.344477406025277}"
Subsample_1 1 (Omykiss),Length 35,0:00:08:56.53181/60000,536.886353,-44.319572,28.070490,-0.741183,0.063257,2.610027,94.167648,"LC: screen={432.526672363281000,489.774841308594000} undistorted={419.632568359375000,489.090423583984000} calibrationFrameFront={-26.334135811217700,1.905759216368270} calibrationFrameBack={-39.488054537093100,-0.541527141492910}""RC: screen={295.210998535156000,473.311035156250000} undistorted={275.351470947266000,471.452453613281000} calibrationFrameFront={-15.022357147450600,1.395678532713640} calibrationFrameBack={-36.379492415142500,-0.947033239762155}"
Subsample_1 1 (Omykiss),Search_Forage 33,0:00:08:54.175/60000,534.002930,-36.676655,22.565695,-8.413590,0.170603,1.496285,86.480743,"LC: screen={488.292266845703000,390.642242431641000} undistorted={478.090545654297000,388.014282226562000} calibrationFrameFront={-23.482960088105900,-3.811532477621080} calibrationFrameBack={-35.392885493919100,-8.560037522576450}""RC: screen={313.021667480469000,383.570312500000000} undistorted={293.858612060547000,378.919250488281000} calibrationFrameFront={-13.715099392216800,-4.127389936825720} calibrationFrameBack={-34.673930669758800,-8.843289640589080}"
Subsample_1 5 (Omykiss),Length 42,0:00:08:50.25794/60000,530.429871,-72.629471,65.131378,-1.913644,0.151454,0.383585,140.673569,"RC: screen={357.743957519531000,487.418884277344000} undistorted={342.265716552734000,486.142944335938000} calibrationFrameFront={-10.515165080864100,2.345332621580760} calibrationFrameBack={-29.947850481141800,0.472010942224973}""LC: screen={397.393615722656000,502.898376464844000} undistorted={382.262298583984000,502.477325439453000} calibrationFrameFront={-28.347455841986700,2.730169106535840} calibrationFrameBack={-42.350492939165300,0.590502076579168}"
